,zcta,total population,male,female,median age in years,hispanic or latino of any race,white alone,black or african american alone,asian alone,per-capita income,public transportation (excluding taxicab),average household size,positive,total tests,some_other_race,Education Index
69,11379,37851,0.47253705318221445,0.5274629468177855,42.7,0.20134210456791102,0.661805500515178,0.008559879527621463,0.10969327098359356,36661,0.20947927399540303,2.78,0.01157168899104383,0.021373279437795566,0.01859924440569602,0.3281201017564393
70,10470,15432,0.4580741316744427,0.5419258683255573,40.5,0.2109253499222395,0.3622343182996371,0.3702695697252462,0.034797822706065316,31829,0.2385303265940902,2.52,0.017236910316226022,0.031817003628823226,0.02177293934681182,0.2923792133537848
71,11361,27246,0.4895030463187257,0.5104969536812743,43.3,0.12882624972473022,0.4178227996770168,0.0360419878147251,0.4056008221390296,38598,0.1637304558467298,2.67,0.00946927989429641,0.017397049108125964,0.011708140644498275,0.39800617590135395
72,11106,38363,0.49002945546490106,0.5099705445350989,35.5,0.2826681959179418,0.4113077705080416,0.05984933399369184,0.2072569924145661,37016,0.40015118734197014,2.24,0.009123374084404244,0.01676094153220551,0.03891770716575867,0.48185672180262024
73,11365,44983,0.4748238223328813,0.5251761776671187,40.8,0.19709668096836583,0.25316230575995374,0.07440588666829691,0.44616855256430205,30662,0.1723984616410644,2.88,0.010159393548673944,0.01840695373807883,0.02916657403908143,0.3326331498320997
74,10462,76756,0.47020428370420553,0.5297957162957945,36.3,0.4753113763093439,0.11606910208973892,0.24818906665276982,0.12542341966751785,25705,0.29731877638230236,2.59,0.0159336077961332,0.028857678878524154,0.035007035280629525,0.21261752923475183
75,10039,27726,0.4261703815912862,0.5738296184087138,33.7,0.3382384765202337,0.06751785327851115,0.5508908605640914,0.01630238765058068,26427,0.32070980307292796,2.44,0.009666017456538988,0.017492606217990335,0.02705042198658299,0.2309819379149242
76,10475,43208,0.4248750231438623,0.5751249768561377,45.0,0.2902703203110535,0.07912886502499537,0.5679272356970931,0.027448620625810036,28976,0.24803277170894278,2.22,0.02191723754860211,0.039159414923162376,0.035224958341047954,0.2713501653848972
77,10035,35743,0.49511792518814873,0.5048820748118513,36.3,0.4458215594661892,0.10178216713762135,0.3700584729877179,0.04428839213272529,22799,0.27756483787035224,2.27,0.012841675293064377,0.02294155498978821,0.0380494082757463,0.23235028439169791
78,10303,25947,0.49369869349057693,0.5063013065094231,33.1,0.3893706401510772,0.17655220256677073,0.3292480826299765,0.0808956719466605,24065,0.15836127490654026,3.16,0.019501291093382663,0.034801711180483294,0.023933402705515087,0.16054067045251827
79,11426,20801,0.49939906735253115,0.5006009326474689,38.6,0.18931782125859334,0.2804672852266718,0.06143935387721744,0.4412768616893419,34168,0.12965722801788376,3.26,0.014470458151050431,0.02581606653526273,0.02749867794817557,0.3573106916919528
80,11228,44994,0.48948748722051827,0.5105125127794817,41.1,0.12975063341778903,0.49175445614970886,0.00880117348979864,0.35375827888162864,32795,0.21105036227052495,2.93,0.008112192736809352,0.014401920256034139,0.01593545806107481,0.30362397999565255
81,11103,36140,0.4866076369673492,0.5133923630326508,33.8,0.22700608743774212,0.5797731045932485,0.01892639734366353,0.14753735473159935,39470,0.4414499169894853,2.3,0.008439402324294411,0.014941892639734366,0.02675705589374654,0.5303945662793295
82,10034,42910,0.47450477744115593,0.5254952225588441,36.4,0.697389885807504,0.2010720111862037,0.05427639244931252,0.030249359123747377,28411,0.3412724306688418,2.66,0.00822652062456304,0.014542064786762992,0.017012351433232348,0.27521547945758046
